Gemeindekennziffer;Name;Innergemeindliche_Pendler;Einpendler;Auspendler;Erwerbstaetig_am_Wohnort;Erwerbstaetige_am_Arbeitsort
08136079;Waldstetten;817;1.475;2.976;3.793;2.292
08136082;Westhausen;810;1.748;2.553;3.363;2.558
08136084;Wört;325;1.304;502;827;1.629
08136087;Riesbürg;245;440;1.023;1.268;685
08136088;Aalen, Stadt;20.916;22.913;12.646;33.562;43.829
08136089;Rainau;263;288;1.649;1.912;551
08211000;Baden-Baden, Stadt;15.546;22.701;11.183;26.729;38.247
08212000;Karlsruhe, Stadt;102.571;115.890;48.731;151.302;218.461
08215007;Bretten, Stadt;6.550;9.334;8.862;15.412;15.884
08215009;Bruchsal, Stadt;9.942;22.651;12.856;22.798;32.593
08215017;Ettlingen, Stadt;7.226;17.476;12.552;19.778;24.702
08215021;Forst;868;2.599;3.407;4.275;3.467
08215025;Gondelsheim;342;1.330;1.651;1.993;1.672
08215029;Hambrücken;538;514;2.443;2.981;1.052
08215039;Kronau;510;1.062;2.594;3.104;1.572
08215040;Kürnbach;237;422;929;1.166;659
08215046;Malsch;1.953;3.435;5.824;7.777;5.388
08215047;Marxzell;459;499;2.243;2.702;958
08215059;Oberderdingen;1.997;3.675;3.490;5.487;5.672
08215064;Östringen, Stadt;1.738;2.141;4.991;6.729;3.879
08215066;Philippsburg, Stadt;1.945;3.316;4.666;6.611;5.261
08215082;Sulzfeld;630;934;1.925;2.555;1.564
08215084;Ubstadt-Weiher;1.431;1.859;5.555;6.986;3.290
08215089;Walzbachtal;1.039;1.200;3.957;4.996;2.239
08215090;Weingarten (Baden);1.315;2.126;3.880;5.195;3.441
08215094;Zaisenhausen;196;609;777;973;805
08215096;Karlsbad;2.686;4.953;5.648;8.334;7.639
08215097;Kraichtal, Stadt;2.101;1.634;5.767;7.868;3.735
08215099;Graben-Neudorf;1.667;3.514;4.532;6.199;5.181
08215100;Bad Schönborn;1.608;2.870;5.136;6.744;4.478
08215101;Pfinztal;2.024;2.509;7.127;9.151;4.533
08215102;Eggenstein-Leopoldshafen;2.278;13.440;6.474;8.752;15.718
08215103;Karlsdorf-Neuthard;1.001;1.714;4.467;5.468;2.715
08215105;Linkenheim-Hochstetten;1.205;1.069;5.115;6.320;2.274
08215106;Waghäusel, Stadt;3.813;5.103;7.320;11.133;8.916
08215107;Oberhausen-Rheinhausen;1.054;1.185;3.879;4.933;2.239
08215108;Rheinstetten, Stadt;2.793;4.194;8.408;11.201;6.987
08215109;Stutensee, Stadt;2.636;4.881;9.746;12.382;7.517
08215110;Waldbronn;1.731;3.057;5.073;6.804;4.788
08215111;Dettenheim;754;986;2.705;3.459;1.740
08216002;Au am Rhein;275;307;1.544;1.819;582
08216005;Bietigheim;520;1.380;3.005;3.525;1.900
08216006;Bischweier;178;418;1.508;1.686;596
08216007;Bühl, Stadt;7.601;15.260;8.238;15.839;22.861
08216008;Bühlertal;818;1.217;3.687;4.505;2.035
08216009;Durmersheim;1.356;1.968;5.416;6.772;3.324
08216012;Elchesheim-Illingen;263;544;1.478;1.741;807
08216013;Forbach;581;231;1.874;2.455;812
08216015;Gaggenau, Stadt;6.288;7.990;9.022;15.310;14.278
08216017;Gernsbach, Stadt;2.278;2.713;5.105;7.383;4.991
08216022;Hügelsheim;346;637;2.406;2.752;983
08216023;Iffezheim;684;1.689;2.126;2.810;2.373
08216024;Kuppenheim, Stadt;864;1.973;3.503;4.367;2.837
08216028;Lichtenau, Stadt;718;1.055;2.029;2.747;1.773
08216029;Loffenau;230;142;1.098;1.328;372
08216033;Muggensturm;735;2.346;2.578;3.313;3.081
08216039;Ötigheim;366;1.107;2.144;2.510;1.473
08216041;Ottersweier;867;2.039;2.650;3.517;2.906
08216043;Rastatt, Stadt;12.152;22.816;12.830;24.982;34.968
08216049;Sinzheim;1.201;2.607;4.998;6.199;3.808
08216052;Steinmauern;216;365;1.415;1.631;581
08216059;Weisenbach;198;430;1.136;1.334;628
08216063;Rheinmünster;939;2.651;2.884;3.823;3.590
08221000;Heidelberg, Stadt;43.380;69.973;26.287;69.667;113.353
08222000;Mannheim, Universitätsstadt;98.242;119.369;50.423;148.665;217.611
08225001;Adelsheim, Stadt;821;1.216;1.663;2.484;2.037
08225002;Aglasterhausen;668;954;1.915;2.583;1.622
08225009;Billigheim;644;507;2.532;3.176;1.151
08225010;Binau;99;229;626;725;328
08225014;Buchen (Odenwald), Stadt;4.660;3.999;4.536;9.196;8.659
08225024;Fahrenbach;269;304;1.182;1.451;573
08225032;Hardheim;1.504;1.873;1.961;3.465;3.377
08225033;Haßmersheim;655;1.094;1.937;2.592;1.749
08225039;Höpfingen;308;275;1.338;1.646;583
08225042;Hüffenhardt;172;211;916;1.088;383
08225052;Limbach;727;788;1.654;2.381;1.515
08225058;Mosbach, Stadt;6.493;11.130;5.325;11.818;17.623
08225060;Mudau;965;620;1.823;2.788;1.585
08225064;Neckargerach;206;168;955;1.161;374
08225067;Neckarzimmern;118;465;654;772;583
08225068;Neunkirchen;203;272;817;1.020;475
08225074;Obrigheim;468;1.114;2.126;2.594;1.582
08225075;Osterburken, Stadt;1.216;2.180;2.146;3.362;3.396
08225082;Rosenberg;379;719;755;1.134;1.098
08225091;Seckach;531;532;1.577;2.108;1.063
08225109;Walldürn, Stadt;2.683;3.147;3.208;5.891;5.830
08225113;Zwingenberg;56;212;294;350;268
08225114;Ravenstein, Stadt;366;243;1.294;1.660;609
08225115;Schefflenz;445;466;1.581;2.026;911
08225116;Schwarzach;340;1.175;1.132;1.472;1.515
08225117;Elztal;669;862;2.598;3.267;1.531
08225118;Waldbrunn;647;626;1.886;2.533;1.273
08226003;Altlußheim;629;1.304;2.450;3.079;1.933
08226006;Bammental;704;1.329;2.480;3.184;2.033
08226009;Brühl;1.349;2.161;6.127;7.476;3.510
08226010;Dielheim;755;691;3.977;4.732;1.446
08226012;Dossenheim;998;1.782;5.457;6.455;2.780
08226013;Eberbach, Stadt;3.576;3.539;3.503;7.079;7.115
08226017;Epfenbach;202;303;1.100;1.302;505
08226018;Eppelheim, Stadt;1.368;3.953;6.665;8.033;5.321
